MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType,Length,Width
2,1737971943.8,1073.082510927608,77.66616894349991,49.85,86.828,86.828,CAR,car,10.0,3.333
3,1737971943.8,1111.0965920634708,231.94923175378287,45.233,39.93,39.93,CAR,car,10.0,3.333
4,1737971943.8,1130.0000000006735,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971944.2,1092.9387594218485,319.995606194489,50.0,89.954,89.954,CAR,car,10.0,3.333
2,1737971944.2,1093.0269368577472,78.47519208269526,49.902,87.677,87.677,CAR,car,10.0,3.333
3,1737971944.2,1121.483753512408,247.5062696956444,46.765,33.73,33.73,CAR,car,10.0,3.333
4,1737971944.2,1150.000000000404,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971944.6,1112.9387338494219,320.00561528295464,50.0,89.971,89.971,CAR,car,10.0,3.333
2,1737971944.6,1112.9927798188014,79.07462742101399,49.937,88.28,88.28,CAR,car,10.0,3.333
3,1737971944.6,1131.0303218298684,264.12167401105387,47.907,29.88,29.88,CAR,car,10.0,3.333
4,1737971944.6,1170.0000000002424,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971945.0,1132.938718489326,320.0111047515379,50.0,89.984,89.984,CAR,car,10.0,3.333
2,1737971945.0,1132.971833171247,79.51936848238404,49.96,88.725,88.725,CAR,car,10.0,3.333
3,1737971945.0,1139.9952332009254,281.4067913091257,48.679,27.413,27.413,CAR,car,10.0,3.333
4,1737971945.0,1190.0000000001453,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971945.4,1152.9387091635867,320.01307370388633,50.0,89.994,89.994,CAR,car,10.0,3.333
2,1737971945.4,1152.959059521189,79.8435763662622,49.975,89.071,89.071,CAR,car,10.0,3.333
3,1737971945.4,1148.5527073770302,299.119316847761,49.178,25.787,25.787,CAR,car,10.0,3.333
4,1737971945.4,1210.000000000087,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971945.8,1172.9387032594482,320.0120326622422,50.0,90.003,90.003,CAR,car,10.0,3.333
2,1737971945.8,1172.9513511019484,80.06470307645327,49.984,89.366,89.366,CAR,car,10.0,3.333
3,1737971945.8,1156.820081961414,317.10787827558335,49.494,24.683,24.683,CAR,car,10.0,3.333
4,1737971945.8,1230.000000000052,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971946.2,1192.9386996810929,320.0106504399387,50.0,90.004,90.004,CAR,car,10.0,3.333
2,1737971946.2,1192.946725012948,80.1933048794338,49.989,89.632,89.632,CAR,car,10.0,3.333
3,1737971946.2,1164.8762472638425,335.2777617346721,49.689,23.912,23.912,CAR,car,10.0,3.333
4,1737971946.2,1250.0000000000312,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971946.6,1212.9386974944948,320.00902526792174,50.0,90.005,90.005,CAR,car,10.0,3.333
2,1737971946.6,1212.9439363175343,80.25602047588247,49.993,89.82,89.82,CAR,car,10.0,3.333
3,1737971946.6,1172.7736959415708,353.56978240659964,49.81,23.352,23.352,CAR,car,10.0,3.333
4,1737971946.6,1270.0000000000186,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971947.0,1232.9386961395496,320.0072208393867,50.0,90.005,90.005,CAR,car,10.0,3.333
2,1737971947.0,1232.9422285056694,80.27012298377142,49.996,89.96,89.96,CAR,car,10.0,3.333
3,1737971947.0,1180.5460292943146,371.9474044406107,49.884,22.925,22.925,CAR,car,10.0,3.333
4,1737971947.0,1290.0000000000111,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971947.4,1252.9386952802067,320.005276780661,50.0,90.006,90.006,CAR,car,10.0,3.333
2,1737971947.4,1252.941138913342,80.24635904632817,49.997,90.068,90.068,CAR,car,10.0,3.333
3,1737971947.4,1188.2115164013821,390.3893315346706,49.929,22.57,22.57,CAR,car,10.0,3.333
4,1737971947.4,1310.0000000000066,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971947.8,1272.9386947143123,320.0032133400137,50.0,90.006,90.006,CAR,car,10.0,3.333
2,1737971947.8,1272.9403755340404,80.19022025330621,49.998,90.161,90.161,CAR,car,10.0,3.333
3,1737971947.8,1195.7698591201442,408.8871199229691,49.956,22.225,22.225,CAR,car,10.0,3.333
4,1737971947.8,1330.0000000000039,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971948.2,1292.9386943722175,320.00177295816883,50.0,90.004,90.004,CAR,car,10.0,3.333
2,1737971948.2,1292.939908541308,80.14456023564847,49.999,90.131,90.131,CAR,car,10.0,3.333
3,1737971948.2,1208.259778606318,420.83393537374167,43.209,46.273,46.273,CAR,car,10.0,3.333
4,1737971948.2,1350.0000000000023,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971948.6,1312.9386941658636,320.00077624734723,50.0,90.003,90.003,CAR,car,10.0,3.333
2,1737971948.6,1312.9396210527414,80.10636205951144,49.999,90.109,90.109,CAR,car,10.0,3.333
3,1737971948.6,1223.753399792818,427.9293061869287,42.603,65.394,65.394,CAR,car,10.0,3.333
4,1737971948.6,1370.0000000000014,200.0,50.0,90.0,90.0,CAR,car,10.0,3.333
1,1737971949.0,1332.9386940417332,320.0001068920507,50.0,90.002,90.002,CAR,car,10.0,3.333
2,1737971949.0,1332.9394425893602,80.07366952486764,50.0,90.094,90.094,CAR,car,10.0,3.333
3,1737971949.0,1241.0066599817594,431.359027084079,43.977,78.757,78.757,CAR,car,10.0,3.333
4,1737971949.0,1386.069834497014,193.11258777428546,43.709,113.2,113.2,CAR,car,10.0,3.333
1,1737971949.4,1352.938693967245,319.99969252731074,50.0,90.001,90.001,CAR,car,10.0,3.333
2,1737971949.4,1352.939330684068,80.04526559154685,50.0,90.081,90.081,CAR,car,10.0,3.333
3,1737971949.4,1259.2143179289549,431.9042629484507,45.54,88.285,88.285,CAR,car,10.0,3.333
4,1737971949.4,1399.4834012432275,181.92503340761203,43.667,129.83,129.83,CAR,car,10.0,3.333
1,1737971949.8,1372.9386939223812,319.99949617606666,50.0,90.001,90.001,CAR,car,10.0,3.333
2,1737971949.8,1372.9392598402264,80.0205283863657,50.0,90.071,90.071,CAR,car,10.0,3.333
3,1737971949.8,1277.8184854374185,429.9899400955521,46.756,95.875,95.875,CAR,car,10.0,3.333
4,1737971949.8,1411.0965920630385,168.05076824635293,45.233,140.07,140.07,CAR,car,10.0,3.333
1,1737971950.2,1392.9386938954,319.99941008694805,50.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971950.2,1392.9392172295104,80.0043935547404,50.0,90.046,90.046,CAR,car,10.0,3.333
3,1737971950.2,1296.9543784539726,428.1894170487319,48.051,95.375,95.375,CAR,car,10.0,3.333
4,1737971950.2,1421.4837535123042,152.49373030452267,46.765,146.27,146.27,CAR,car,10.0,3.333
1,1737971950.6,1412.93869387909,319.9994025138696,50.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971950.6,1412.9391916563443,79.99438435218866,50.0,90.029,90.029,CAR,car,10.0,3.333
3,1737971950.6,1316.4107690382289,426.47531198652285,48.829,95.035,95.035,CAR,car,10.0,3.333
4,1737971950.6,1431.0303218299628,135.87832598913238,47.907,150.12,150.12,CAR,car,10.0,3.333
1,1737971951.0,1432.9386938691155,319.9994528725878,50.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971951.0,1432.9391762958023,79.9888948513936,50.0,90.016,90.016,CAR,car,10.0,3.333
3,1737971951.0,1336.0607070456508,424.8289731891167,49.297,94.789,94.789,CAR,car,10.0,3.333
4,1737971951.0,1439.995233201132,118.59320869106898,48.679,152.587,152.587,CAR,car,10.0,3.333
1,1737971951.4,1452.9386938628645,319.9995483567428,50.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971951.4,1452.9391669697861,79.98692593612984,50.0,90.006,90.006,CAR,car,10.0,3.333
3,1737971951.4,1355.8279512863467,423.23869095919076,49.578,94.6,94.6,CAR,car,10.0,3.333
4,1737971951.4,1448.552707377291,100.88068315243311,49.178,154.213,154.213,CAR,car,10.0,3.333
1,1737971951.8,1472.9386938587456,319.9996824225392,50.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971951.8,1472.9391610654584,79.98796708283896,50.0,89.997,89.997,CAR,car,10.0,3.333
3,1737971951.8,1375.6668809010987,421.6995325702506,49.746,94.436,94.436,CAR,car,10.0,3.333
4,1737971951.8,1456.8200819616895,82.8921217246029,49.494,155.317,155.317,CAR,car,10.0,3.333
1,1737971952.2,1492.9386938562493,319.99978285724427,50.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971952.2,1492.9391574869878,79.9893493869613,50.0,89.996,89.996,CAR,car,10.0,3.333
3,1737971952.2,1395.5694913880504,420.66669426109155,49.823,92.971,92.971,CAR,car,10.0,3.333
4,1737971952.2,1464.8762472641054,64.72223826550038,49.689,156.088,156.088,CAR,car,10.0,3.333
1,1737971952.6,1512.938693854735,319.99985934374314,50.0,90.0,90.0,CAR,car,10.0,3.333
2,1737971952.6,1512.939155300319,79.99097462440731,50.0,89.995,89.995,CAR,car,10.0,3.333
3,1737971952.6,1415.510894658542,419.9959195583939,49.882,91.927,91.927,CAR,car,10.0,3.333
4,1737971952.6,1472.7736959418012,46.43021759355425,49.81,156.648,156.648,CAR,car,10.0,3.333
