mmsi,year,flag_ais,flag_registry,flag_gfw,vessel_class_inferred,vessel_class_inferred_score,vessel_class_registry,vessel_class_gfw,self_reported_fishing_vessel,length_m_inferred,length_m_registry,length_m_gfw,engine_power_kw_inferred,engine_power_kw_registry,engine_power_kw_gfw,tonnage_gt_inferred,tonnage_gt_registry,tonnage_gt_gfw,registries_listed,active_hours,fishing_hours,vessel_class_mapped
441345658,2023,KOR,,KOR,trawlers,0.867,,trawlers,False,25.797,,25.797,392.156,,392.156,80.649,,80.649,,1166.6759,630.434,trawler
441351000,2023,KOR,KOR,KOR,squid_jigger,0.559,squid_jigger,squid_jigger,True,91.657,69.5,69.5,2488.713,1634.0,1634.0,3709.224,917.5,917.5,IMO|KOR|NPFC|SPRFMO,8759.894699999995,1220.6598999999997,longliner
441352000,2023,KOR,KOR,KOR,squid_jigger,0.872,squid_jigger,squid_jigger,True,65.914,48.7,48.7,1647.377,1618.0,1618.0,992.684,917.5,917.5,IMO|KOR|NPFC|SPRFMO,6607.590800000003,1228.8469999999995,longliner
441360000,2023,KOR,KOR,KOR,squid_jigger,0.93,squid_jigger,squid_jigger,True,55.467,51.8,51.8,1226.432,1176.0,1176.0,754.914,657.3,657.3,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,4751.594500000002,1223.5007999999996,longliner
441365565,2023,KOR,,KOR,set_longlines,0.505,,set_longlines,True,30.186,,30.186,358.243,,358.243,349.945,,349.945,,1112.3112,789.7601000000003,longliner
441365885,2023,KOR,,KOR,fishing,0.804,,fishing,True,26.399,,26.399,404.509,,404.509,362.735,,362.735,,2073.7844999999998,1439.1719000000005,trawler
441374000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,True,49.93,52.0,52.0,760.223,742.2,742.2,421.193,496.7,496.7,CCSBT|FAO|FFA|IATTC|ICCAT|ICCAT2|IMO|IOTC|ISSF2|KOR|NEPAC|OPRT|OWNER|REV|WCPFC|WCPFC2,8759.267599999994,4254.1897999999965,longliner
441385000,2023,KOR,KOR,KOR,squid_jigger,0.8,squid_jigger,squid_jigger,True,66.192,66.4,66.4,1838.551,1618.0,1618.0,1185.229,918.0,918.0,IMO|KOR|NPFC|SPRFMO,5831.729599999995,973.1176,longliner
441389000,2023,KOR,KOR,KOR,set_longlines,0.955,set_longlines,set_longlines,True,54.741,59.9,59.9,1125.888,1184.5,1184.5,1117.206,1030.4,1030.4,CCAMLR|IMO|KOR|SPRFMO,8492.5449,3420.962199999998,longliner
441391487,2023,KOR,,KOR,trawlers,0.955,,trawlers,False,22.952,,22.952,308.134,,308.134,103.384,,103.384,,939.6841,395.85690000000005,trawler
441400055,2023,KOR,,KOR,fixed_gear,0.773,,fixed_gear,True,20.353,,20.353,374.502,,374.502,80.607,,80.607,,814.147,357.5586,longliner
441401696,2023,KOR,,KOR,trawlers,0.902,,trawlers,False,34.5,,34.5,638.814,,638.814,215.595,,215.595,,742.9543,496.6128,trawler
441404000,2023,KOR,KOR,KOR,squid_jigger,0.868,squid_jigger,squid_jigger,True,50.673,50.2,50.2,1086.846,969.0,969.0,656.846,603.5,603.5,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,7472.369199999998,1188.088,longliner
441412000,2023,KOR,KOR,KOR,squid_jigger,0.874,squid_jigger,squid_jigger,True,49.856,49.7,49.7,989.062,895.0,895.0,564.305,493.0,493.0,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,3472.313400000002,1205.6748,longliner
441413000,2023,KOR,KOR,KOR,squid_jigger,0.89,squid_jigger,squid_jigger,True,58.814,59.5,59.5,1417.129,1337.95,1337.95,754.95,876.3,876.3,CORR2|FAO|IMO|NPFC|OWNER|SPRFMO|SPRFMO2,7679.905099999998,1340.1260999999995,longliner
441422543,2023,KOR,,KOR,trawlers,0.905,,trawlers,True,23.32,,23.32,423.039,,423.039,200.687,,200.687,,2028.4193999999995,1573.7416999999994,trawler
441427000,2023,KOR,KOR,KOR,drifting_longlines,0.532,drifting_longlines,drifting_longlines,True,62.839,49.8,49.8,1130.848,827.2,827.2,958.099,398.0,398.0,FFA|IATTC|IMO|OPRT|WCPFC,8759.5657,5032.4370999999965,longliner
441430000,2023,KOR,KOR,KOR,trawlers,0.968,fishing,trawlers,True,65.05,,65.05,1772.961,,1772.961,1269.357,852.5,852.5,IMO,8759.6776,5405.839999999996,trawler
441472000,2023,KOR,KOR,KOR,fishing,0.567,tuna_purse_seines,fishing,True,81.927,79.8,79.8,3426.378,4251.0,4251.0,2404.726,2059.0,2059.0,FAO|FFA|IMO|ISSF|ISSF2|ISSF3|ISSF4|KOR|WCPFC|WCPFC2,1271.5797999999998,306.58649999999994,trawler
441481000,2023,KOR,KOR,KOR,drifting_longlines,1.0,set_longlines|drifting_longlines,drifting_longlines,True,49.211,50.6,50.6,698.749,740.5,740.5,432.278,509.0,509.0,FAO|FFA|IATTC|IMO|IOTC|ISSF2|ISSF3|KOR|OPRT|WCPFC|WCPFC2,8177.7031,4709.273000000001,longliner
441483000,2023,KOR,KOR,KOR,drifting_longlines,1.0,drifting_longlines,drifting_longlines,False,48.957,46.2,46.2,738.537,742.2,742.2,429.226,471.6,471.6,CCSBT|FAO|FFA|IATTC|ICCAT|ICCAT2|IMO|IOTC|ISSF2|KOR|OPRT|OWNER|TMT|WCPFC|WCPFC2,8432.9841,4572.9953000000005,longliner
441485237,2023,KOR,,KOR,drifting_longlines,0.999,,set_longlines,False,37.467,,37.467,401.636,,401.636,580.563,,580.563,,238.7377,58.4468,longliner
